DATASET,NG_R2,RD_R2,NG_RMSE,RD_RMSE
Dopamine,0.4800713763914024,0.5190736660931698,0.8088389710922007,0.7821171493962064
Dopamine,0.46645975419789504,0.4635318248264514,0.7962222764850188,0.8008397004221625
Dopamine,0.5545912351490051,0.5525159823617746,0.6995810924179909,0.7012671181021818
Dopamine,0.5009489659640436,0.5128137345068771,0.802307684707576,0.7899935962639476
Vanilloid,0.39690496597694847,0.42697522863929516,0.7706714176180515,0.751853664574364
Vanilloid,0.4127847486552048,0.4438183877387189,0.7817271046618043,0.7607561498038681
Vanilloid,0.45727357562067994,0.5181364546236721,0.7349855043942635,0.6981458419041989
Vanilloid,0.4622553408322681,0.4985435282387411,0.7400889007950702,0.7209610920109979
Vanilloid,0.4238258226284623,0.4639383985300764,0.739624118458715,0.7174631772239787
Vanilloid,0.4866685927447395,0.5139181784984671,0.7241292053046412,0.7037901001594479
Vanilloid,0.36625842638520156,0.4141916420746097,0.7627758336735327,0.7335957336612088
Vanilloid,0.4602439915078285,0.49653080490388074,0.7434299266107653,0.7206471657806486
Vanilloid,0.45044843136569557,0.4875134887642062,0.7149479064783549,0.6891354541563267
Vanilloid,0.49330291338129983,0.5339101521262454,0.7342348607767577,0.7106202918312295
Acetylcholinesterase,0.5875247854136251,0.6014610066628309,0.8709167833875792,0.8589030499713376
Acetylcholinesterase,0.6049673325814676,0.6519108249796343,0.856197635252161,0.8128989481210811
Acetylcholinesterase,0.5459405526003317,0.6053270895073103,0.9354871120544502,0.8825516579507641
Acetylcholinesterase,0.5628564846601475,0.5967460570310182,0.8884573559069581,0.8615605726681914
Acetylcholinesterase,0.5422953287446205,0.5948204116988927,0.8942491655217847,0.8524210807179734
Acetylcholinesterase,0.5734494858938043,0.6066357469960981,0.9087568752839522,0.8818183448897933
Acetylcholinesterase,0.5617192838465032,0.5860369100561119,0.9061165532049701,0.884073321108606
Acetylcholinesterase,0.5988661432821327,0.6399085173492841,0.8725096607069119,0.8429440453977284
Acetylcholinesterase,0.6110044367382008,0.6370828042530419,0.8848232689808216,0.8620574032444047
Acetylcholinesterase,0.6062702936144673,0.6327484001439281,0.8512520719265747,0.8283535526219656
erbB1,0.596531307380061,0.662436846628761,0.8755516006649923,0.8082570961953002
erbB1,0.5837277757724111,0.6208374386179452,0.8700969563811015,0.8323242319381214
erbB1,0.5764911747176639,0.605514652948204,0.9034626480474471,0.871718921081568
erbB1,0.5684039562896551,0.611559975822895,0.8794517381332029,0.8351729757852762
erbB1,0.5937438244835448,0.6525644784944474,0.8790906174272936,0.817321196771014
erbB1,0.5966198218131913,0.6465947439237911,0.8738318352113387,0.8188875489512026
erbB1,0.6096145605593789,0.6575157165386497,0.862648491308524,0.810376082052554
erbB1,0.6005468305311747,0.6546509714638644,0.8796818318411614,0.8225923238441186
erbB1,0.5873434828365628,0.6133325729104299,0.8639116644891087,0.8361259585309673
erbB1,0.5899421666341909,0.6326094773504944,0.8691167660952737,0.825571493253122
Caspase,0.7987035630838897,0.8184361342110267,0.6474426591290349,0.6146896461406347
Caspase,0.7782896442113885,0.8045561293338925,0.6887002231303345,0.6488623250843467
Caspase,0.7795218980488438,0.830587801181144,0.7021666358617389,0.6178256438549413
Caspase,0.7941257690604909,0.8210870093896064,0.6673995712997011,0.6230893575635543
Caspase,0.7599362350522345,0.7922353535115826,0.7368688489355202,0.6867885022280001
Caspase,0.7826693359632952,0.8032174907461322,0.6893209649970475,0.6564250319962762
Caspase,0.7919662326631346,0.8116901973820823,0.658986201802747,0.6245754071117472
Caspase,0.7701170591362789,0.8089107157777313,0.6653667798404074,0.60702158239789
Caspase,0.8169517957561266,0.8408560663113852,0.6414927335941593,0.5973233502220758
Caspase,0.7710847160297778,0.7997097126504623,0.6885076579020571,0.6430884569919968
Estrogen,0.7434826559696448,0.7415766440477575,0.6764338634078348,0.6790869536177792
Estrogen,0.7242634598860758,0.7506879660839942,0.7203476809031537,0.6868901661122371
Estrogen,0.6854522816000631,0.7147361610610665,0.7581609476250553,0.7232912817885901
Estrogen,0.7572458599623851,0.776478514722871,0.6714334972005497,0.6448461300675573
Estrogen,0.7425346421653524,0.7712832427376194,0.692823209078754,0.652842523996554
Estrogen,0.7257931782195681,0.7353915539461569,0.7128672440543785,0.7005688884441834
Estrogen,0.7583605638836939,0.7676415871418129,0.6732023024165024,0.6603657500048145
Estrogen,0.7413679754925041,0.7490995346542098,0.6904594207504064,0.6803468777738094
Estrogen,0.7166793738299022,0.726257442894081,0.708860146438193,0.6975639702851507
Estrogen,0.739062494662065,0.7490877450372886,0.6970968157303081,0.683326145855242
HERG,0.4687934924719451,0.5094153756672528,0.6806891676473721,0.6560752560070894
HERG,0.49090441065557294,0.5497640331072873,0.6823215073442672,0.6476400781395804
HERG,0.45525232865374377,0.5106517969449833,0.6866943305525307,0.6565139950892671
HERG,0.44796163905945774,0.4925650793620534,0.6877251142363714,0.6650680844315948
HERG,0.4847370280350012,0.5449769154903296,0.6710591553871091,0.6366895535118632
HERG,0.43778932088847383,0.49170470956532286,0.649159368308386,0.6239694705751202
HERG,0.4379303448218702,0.4722775404124846,0.6822638470709593,0.6630401919255399
HERG,0.4572854320283842,0.49740771537983774,0.6702194159173152,0.6481487267734407
HERG,0.43758130000868944,0.4660084538057712,0.6710787861345626,0.6558508683659541
HERG,0.4639413049272667,0.49964941035024535,0.6699882309290415,0.6503005051022411
A2a,0.3655026108682665,0.4151312782150749,0.9594702914012603,0.9058649103255321
A2a,0.4572001288965399,0.5257754359276343,0.9100683002001378,0.8475523301877785
A2a,0.5210396786644474,0.6153151747818757,0.7844305813228363,0.7026063396026396
A2a,0.4373859399049279,0.47456524214235607,0.9053394307582585,0.8663365007448116
A2a,0.5806438502377274,0.6789847983041007,0.8109226564584615,0.6941360038336402
A2a,0.4107652838277843,0.5630496994971282,0.8107011582343321,0.6785926208175472
A2a,0.7067046307513698,0.7921224951057482,0.7424866672616153,0.6111023899720143
A2a,0.6247994625692599,0.6891642922705079,0.7787873244746496,0.7447244281364425
A2a,0.6598788510009042,0.5799395581919379,0.6400501159624635,0.7126583231194374
A2a,0.4338293602689496,0.4218196801583247,0.9219875882606547,0.9369334133130148
Cannabinoid,0.6774152518749689,0.6658973124142441,0.7567696272238675,0.7689710929130896
Cannabinoid,0.5757893726605503,0.6008893102814404,0.8137079992569161,0.787183107711238
Cannabinoid,0.6086619806228911,0.6775647850563599,0.8032851829851965,0.7370408541652218
Cannabinoid,0.564327333872723,0.6050846972479071,0.7936708292782699,0.7515296082241022
Cannabinoid,0.6346659646190048,0.5956682987247625,0.7332420155501034,0.7681769438104035
Cannabinoid,0.6537239736196726,0.6693804647361694,0.7447526460289231,0.7313781154425801
Cannabinoid,0.5187859888304008,0.550539810774096,0.8674374040475511,0.8372928413011328
Cannabinoid,0.6001541852140444,0.5876011915244804,0.816963997657082,0.8319517271513956
Cannabinoid,0.6024024332733734,0.6245995046318272,0.8312878458238117,0.8100713084740829
Cannabinoid,0.6594799568190363,0.6783843194132351,0.7346044309318155,0.7205667669503562
